,method,gamma,interv_gene,test_mse
0,DRIG,0,ENSG00000205609,0.15677601013794304
1,DRIG,0,ENSG00000205571,0.11068175373771934
2,DRIG,0,ENSG00000100804,0.24395703066180047
3,DRIG,0,ENSG00000204152,0.596526825648044
4,DRIG,0,ENSG00000168538,0.3319557638406432
5,DRIG,0,ENSG00000197734,0.1091988354626477
6,DRIG,0,ENSG00000152253,0.44492162834486254
7,DRIG,0,ENSG00000106263,0.09892101494221607
8,DRIG,0,ENSG00000120948,0.17893203560746668
9,DRIG,0,ENSG00000169750,0.3740345538141401
10,DRIG,0,ENSG00000119718,0.38605234846665637
11,DRIG,0,ENSG00000105618,0.3581032251836
12,DRIG,0,ENSG00000145191,0.3600112367056606
13,DRIG,0,ENSG00000072756,0.5095072742625495
14,DRIG,0,ENSG00000070785,0.12715173034776409
15,DRIG,0,ENSG00000160075,0.3013226438026928
16,DRIG,0,ENSG00000075856,0.5925743906849196
17,DRIG,0,ENSG00000131931,0.8128356141397982
18,DRIG,0,ENSG00000174243,0.1252428861579004
19,DRIG,0,ENSG00000117360,0.09432315703241903
20,DRIG,0,ENSG00000100949,0.1709991532505157
21,DRIG,0,ENSG00000175792,0.8833763699619344
22,DRIG,0,ENSG00000181029,0.3590682742174314
23,DRIG,0,ENSG00000146007,0.0927445008469296
24,DRIG,0,ENSG00000124207,0.9059232984180465
25,DRIG,0,ENSG00000174780,0.13143424009452645
26,DRIG,0,ENSG00000197265,0.6069683455587501
27,DRIG,0,ENSG00000182446,0.3337612114423247
28,DRIG,0,ENSG00000169727,0.1792496131794709
29,DRIG,0,ENSG00000110713,0.1546507573339341
30,DRIG,0,ENSG00000137955,0.26332017457596874
31,DRIG,0,ENSG00000142731,1.1374870583076913
32,DRIG,0,ENSG00000189091,0.6363111210640691
33,DRIG,0,ENSG00000111581,0.3643795455803844
34,DRIG,0,ENSG00000198952,0.14022444972268153
35,DRIG,0,ENSG00000156603,0.45075002225638994
36,DRIG,0,ENSG00000108424,0.4161187007051455
37,DRIG,0,ENSG00000105258,0.15539872009333486
38,DRIG,0,ENSG00000119414,0.12457992670038055
39,DRIG,0,ENSG00000163754,0.11533171333373339
40,DRIG,0,ENSG00000112118,0.09312641660858896
41,DRIG,0,ENSG00000113141,0.18115844152750996
42,DRIG,0,ENSG00000108064,0.517427216024502
43,DRIG,0,ENSG00000198258,0.7641799248906503
44,DRIG,0,ENSG00000197780,0.09825253175857876
45,DRIG,0,ENSG00000083896,0.15994228370259872
46,DRIG,0,ENSG00000183479,0.8270292836593446
47,DRIG,0,ENSG00000197111,0.16479811242055106
48,DRIG,0,ENSG00000144034,0.7948569150827661
49,DRIG,0,ENSG00000268043,0.3062764920994649
50,anchor regression,0,ENSG00000205609,0.15864176221798165
51,anchor regression,0,ENSG00000205571,0.10992827199326977
52,anchor regression,0,ENSG00000100804,0.24759126116984653
53,anchor regression,0,ENSG00000204152,0.5761594740593429
54,anchor regression,0,ENSG00000168538,0.31775865614881255
55,anchor regression,0,ENSG00000197734,0.10891995655007468
56,anchor regression,0,ENSG00000152253,0.43313392102124265
57,anchor regression,0,ENSG00000106263,0.09904958146027427
58,anchor regression,0,ENSG00000120948,0.1775336007667368
59,anchor regression,0,ENSG00000169750,0.35740170107881863
60,anchor regression,0,ENSG00000119718,0.38346859823679313
61,anchor regression,0,ENSG00000105618,0.3454818949797086
62,anchor regression,0,ENSG00000145191,0.3575612939201017
63,anchor regression,0,ENSG00000072756,0.4999708089997529
64,anchor regression,0,ENSG00000070785,0.12790684303231556
65,anchor regression,0,ENSG00000160075,0.2955819107156895
66,anchor regression,0,ENSG00000075856,0.5732750957481555
67,anchor regression,0,ENSG00000131931,0.8024022557321978
68,anchor regression,0,ENSG00000174243,0.12149157286933217
69,anchor regression,0,ENSG00000117360,0.09387451933315759
70,anchor regression,0,ENSG00000100949,0.16566580638872322
71,anchor regression,0,ENSG00000175792,0.8590096969075599
72,anchor regression,0,ENSG00000181029,0.34281731288693496
73,anchor regression,0,ENSG00000146007,0.09278620853672107
74,anchor regression,0,ENSG00000124207,0.8841236154918884
75,anchor regression,0,ENSG00000174780,0.1308094042463523
76,anchor regression,0,ENSG00000197265,0.5902366225578685
77,anchor regression,0,ENSG00000182446,0.32087164382707756
