,method,gamma,interv_gene,test_mse
0,DRIG,0,ENSG00000205609,0.14022444972268153
1,DRIG,0,ENSG00000205571,0.26332017457596874
2,DRIG,0,ENSG00000100804,0.09892101494221607
3,DRIG,0,ENSG00000204152,0.8270292836593446
4,DRIG,0,ENSG00000168538,0.15677601013794304
5,DRIG,0,ENSG00000197734,0.13143424009452645
6,DRIG,0,ENSG00000152253,0.8833763699619344
7,DRIG,0,ENSG00000106263,0.17893203560746668
8,DRIG,0,ENSG00000120948,0.5095072742625495
9,DRIG,0,ENSG00000169750,0.1709991532505157
10,DRIG,0,ENSG00000119718,0.1091988354626477
11,DRIG,0,ENSG00000105618,0.1546507573339341
12,DRIG,0,ENSG00000145191,0.11533171333373339
13,DRIG,0,ENSG00000072756,0.18115844152750996
14,DRIG,0,ENSG00000070785,0.3319557638406432
15,DRIG,0,ENSG00000160075,0.1252428861579004
16,DRIG,0,ENSG00000075856,0.3740345538141401
17,DRIG,0,ENSG00000131931,0.4161187007051455
18,DRIG,0,ENSG00000174243,0.8128356141397982
19,DRIG,0,ENSG00000117360,0.7641799248906503
20,DRIG,0,ENSG00000100949,0.09825253175857876
21,DRIG,0,ENSG00000175792,0.3600112367056606
22,DRIG,0,ENSG00000181029,0.6069683455587501
23,DRIG,0,ENSG00000146007,0.3062764920994649
24,DRIG,0,ENSG00000124207,0.3590682742174314
25,DRIG,0,ENSG00000174780,0.44492162834486254
26,DRIG,0,ENSG00000197265,0.12457992670038055
27,DRIG,0,ENSG00000182446,0.1792496131794709
28,DRIG,0,ENSG00000169727,0.09312641660858896
29,DRIG,0,ENSG00000110713,0.45075002225638994
30,DRIG,0,ENSG00000137955,0.9059232984180465
31,DRIG,0,ENSG00000142731,0.7948569150827661
32,DRIG,0,ENSG00000189091,0.11068175373771934
33,DRIG,0,ENSG00000111581,0.3581032251836
34,DRIG,0,ENSG00000198952,0.12715173034776409
35,DRIG,0,ENSG00000156603,1.1374870583076913
36,DRIG,0,ENSG00000108424,0.38605234846665637
