"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
2.9362993;3.4404464;3.4404464;3.8927763;2.483417;3.9203804;2.7788467;2.860669;3.00661;3.00661
3.260869;3.6781366;3.1840174;3.1840174;3.2231812;3.7022128;3.1007645;3.4911108;2.9612434;2.9612434
3.5672143;4.0719805;3.2975354;2.822187;3.1088307;3.7579267;2.8760357;2.6406953;3.3313508;2.418795
3.201558;4.045748;3.143474;3.3335278;3.256453;3.5140243;2.9086187;2.9815307;2.7446024;2.6990206
3.5653691;3.4728837;2.3388076;3.6500206;2.3388076;2.3388076;1.9804372;3.257467;3.1294186;1.4165702
3.460831;3.9796712;3.176741;3.3050432;3.176741;3.6651525;2.6003623;2.9972835;2.8568194;2.9295156
3.756393;3.6655796;3.0649092;3.362544;3.0206087;3.6655796;2.9742541;2.4173644;3.1480248;2.2363124
3.353423;3.789646;3.25194;3.25194;3.25194;3.3850844;3.5565066;2.7549496;3.1389825;2.6304646
1.5847584;2.8041148;3.4665139;4.0126567;2.5364184;3.939939;2.5364184;3.1891866;3.0150723;2.5364184
3.8739128;3.5105767;3.1797814;3.302611;3.4119904;3.65595;2.9883115;3.3404157;2.5273874;2.682078
2.5961468;4.0423965;3.2169902;3.1814601;3.0564082;3.4968042;3.2428331;2.9483027;2.8270779;2.511483
3.7406754;4.196125;2.8267074;3.1541283;2.9803054;3.230883;2.7094076;3.070989;2.8267074;2.3366885
3.3497186;3.8795965;3.1677613;3.206898;3.040226;3.5857239;2.945164;3.206898;3.040226;2.7227025
3.710025;4.3344283;2.7193599;3.3789933;3.179188;3.4087315;2.7193599;3.2153857;2.7760994;2.8807476
3.5205653;3.589982;2.8908849;3.2776675;2.8210392;3.6229632;2.7459462;3.017451;2.8210392;3.0751936
3.7672079;3.6841025;3.1162126;3.4118948;3.3533292;4.0288377;3.1162126;2.570628;3.3830407;2.855676
3.5745595;4.09965;3.1111197;3.3129299;3.480772;3.612209;2.883859;3.279138;2.9810426;3.0039313
3.462372;3.8447013;3.025528;3.025528;3.364606;3.6487732;2.8000987;3.2093704;2.5558112;2.72511
3.500809;4.213318;3.4038963;3.23826;3.4290192;3.6506398;3.0756;3.3516743;2.9232533;2.791523
3.6597247;4.4044757;2.8546207;3.4877636;3.5484295;3.3177345;2.7939134;3.1998472;2.9118526;3.066182
3.7586453;4.108301;2.8879015;3.3647704;3.552807;3.5238218;3.1329923;3.2163649;3.1329923;2.562535
