lambda,test_mse
0,0.226196975
0,0.632196009
0,0.273473769
0,0.18393296
0,0.732810676
0,0.202412292
0,0.122342892
0,0.641859293
0,0.270109057
0,0.377451301
0,0.102097034
0,0.277974159
0,0.479855329
0,0.210030511
0,0.141890168
0,0.110510111
0,0.420789957
0,0.321742892
0,0.41464293
0,0.228943557
0,0.303845257
0,0.579573214
0,0.287158936
0,0.144008651
0,0.213050619
0,0.586526692
0,0.132487655
0,0.263004124
0,0.110017091
0,0.10848549
0,0.115543552
0,0.119937301
0,0.143075854
0,0.09973342
0,0.665141344
0,0.150138825
0,0.162315637
0,0.620701671
0,0.290816933
0,0.09565112
0,0.460366845
0,0.320021451
0,0.150667384
0,0.36111021
0,0.112727851
0,0.204404593
0,0.233678907
0,0.103538819
0,0.176394343
0,0.233980253
1,0.229131326
1,0.627685726
1,0.270570368
1,0.185818419
1,0.720374525
1,0.214132458
1,0.125917137
1,0.627343953
1,0.263846636
1,0.371484548
1,0.103497788
1,0.270983398
1,0.465919346
1,0.212508783
1,0.141336277
1,0.10960494
1,0.417503655
1,0.315480947
1,0.410918504
1,0.222002372
1,0.302325815
1,0.572818398
1,0.283489734
1,0.146152675
1,0.208898991
1,0.582411945
1,0.134228915
1,0.255957961
1,0.110613644
1,0.108144335
1,0.112614453
1,0.121817552
1,0.142450675
1,0.102008015
1,0.660739183
1,0.150715366
1,0.164280653
1,0.6106745
1,0.294982404
1,0.09602724
1,0.458550543
1,0.31903255
1,0.151056647
1,0.353780955
1,0.115227751
1,0.206055552
1,0.230332911
1,0.102538712
1,0.178767934
1,0.234778702
2,0.230436221
2,0.622038245
2,0.269194394
2,0.185952589
2,0.687655032
2,0.224949911
2,0.128340602
2,0.62225461
2,0.258102536
2,0.364045948
2,0.104338266
2,0.272688657
2,0.446543157
2,0.212739065
2,0.142381653
2,0.11019659
2,0.405949265
2,0.311250627
2,0.405229717
2,0.215888366
2,0.30082202
2,0.569027603
2,0.275927156
2,0.14678438
2,0.203797325
2,0.574376941
2,0.134836167
2,0.246311396
2,0.11019516
2,0.10973148
2,0.109577641
2,0.123326018
2,0.143822193
2,0.104354717
2,0.649047613
2,0.154454559
2,0.171077996
2,0.606409252
2,0.301579386
2,0.097153403
2,0.45441103
2,0.318321079
2,0.152074486
2,0.340650737
2,0.118077189
2,0.21067141
2,0.222981393
2,0.102260418
2,0.179841697
2,0.23459509
3,0.224201843
3,0.606745958
3,0.261443049
3,0.191061437
3,0.672273278
3,0.235640779
3,0.130944237
3,0.595727265
3,0.251986623
3,0.356911063
3,0.106920287
3,0.264490575
3,0.437684417
3,0.218248934
3,0.142471492
3,0.109104514
3,0.400679857
3,0.299882948
3,0.39436543
3,0.209606886
3,0.29439202
3,0.548580885
3,0.26682654
3,0.150308326
3,0.193507612
3,0.556076467
3,0.136006027
3,0.240238041
3,0.112367392
3,0.110343419
3,0.107064068
3,0.125523001
3,0.142946139
3,0.107456855
3,0.628733516
3,0.156200245
3,0.175102383
3,0.587482095
3,0.308005422
3,0.099008501
3,0.439887375
3,0.319334149
3,0.15037106
3,0.331506073
3,0.121634558
3,0.206489712
3,0.221594349
3,0.102106549
3,0.185210466
3,0.230091497
4,0.221452847
4,0.595487773
4,0.256550133
4,0.192196235
4,0.659246624
4,0.242918938
4,0.1360486
4,0.586243331
4,0.244657591
4,0.352351427
4,0.109386474
4,0.263285547
4,0.420701623
4,0.220585495
4,0.144122407
4,0.110835761
4,0.397921681
4,0.29374525
4,0.38167423
4,0.209926933
4,0.291853666
4,0.54166466
4,0.269419461
4,0.151874781
4,0.196211785
4,0.551012576
4,0.140024737
4,0.239591166
4,0.11199782
4,0.111407623
4,0.10526184
4,0.127499625
4,0.143802136
4,0.111141905
4,0.621331871
4,0.158777609
4,0.181240112
4,0.576392055
4,0.313152939
4,0.100818746
4,0.437609285
4,0.320661604
4,0.151007727
4,0.324009538
4,0.125473648
4,0.205672875
4,0.216778621
4,0.103622206
4,0.187881768
4,0.225957304
5,0.219114974
5,0.589822352
5,0.25153932
5,0.194924235
5,0.640266895
5,0.248021841
5,0.13727437
5,0.57714802
5,0.239620596
5,0.344685435
5,0.109877892
5,0.259607613
5,0.410781354
5,0.224561572
5,0.144863084
5,0.110545918
5,0.386435181
5,0.289820582
5,0.376734704
5,0.200087547
5,0.286148369
5,0.529901743
5,0.259384871
5,0.154577032
5,0.185150295
5,0.534748852
5,0.138201252
5,0.23415938
5,0.113169409
5,0.111376122
5,0.104418479
5,0.129453704
5,0.142592117
5,0.112059653
5,0.608006775
5,0.162169561
5,0.182229638
5,0.565286756
5,0.317264885
5,0.101632036
5,0.431715161
5,0.318978161
5,0.14928852
5,0.312945217
5,0.126982614
5,0.204060167
5,0.213145494
5,0.102562875
5,0.189360544
5,0.223545715
6,0.220331833
6,0.593854666
6,0.255895734
6,0.192501843
6,0.641713619
6,0.242936566
6,0.132107943
6,0.574397624
6,0.240873158
6,0.349488646
6,0.108896598
6,0.261003137
6,0.419784278
6,0.220037431
6,0.142784685
6,0.109540068
6,0.385992885
6,0.292352617
6,0.378552854
6,0.202200413
6,0.28776291
6,0.533525765
6,0.259733558
6,0.153139353
6,0.186227024
6,0.535952926
6,0.137669712
6,0.236811116
6,0.112768546
6,0.111274526
6,0.105213143
6,0.127419889
6,0.144281849
6,0.110533148
6,0.611431539
6,0.158126131
6,0.176523149
6,0.567738652
6,0.314331591
6,0.100241177
6,0.434114605
6,0.320001185
6,0.151942268
6,0.314039618
6,0.124659263
6,0.206917092
6,0.213505939
6,0.102993116
6,0.186730787
6,0.224145576
7,0.222156167
7,0.59071821
7,0.252883673
7,0.193711892
7,0.630237639
7,0.248363584
7,0.136608154
7,0.571632624
7,0.238579914
7,0.346991718
7,0.109921589
7,0.258316666
7,0.415026814
7,0.221335635
7,0.144529507
7,0.111839086
7,0.384323567
7,0.288482338
7,0.377328396
7,0.199461669
7,0.290016621
7,0.530393183
7,0.259646922
7,0.153442234
7,0.184409633
7,0.536009669
7,0.139583513
7,0.233537659
7,0.112819627
7,0.111359939
7,0.104330391
7,0.129452825
7,0.142442152
7,0.112113111
7,0.606165111
7,0.161054194
7,0.181279108
7,0.567127466
7,0.318067163
7,0.101781346
7,0.433461547
7,0.319571286
7,0.149349377
7,0.313487381
7,0.127063438
7,0.206565589
7,0.212971881
7,0.103682972
7,0.187795773
7,0.223259404
8,0.21914205
8,0.582013369
8,0.249023616
8,0.196931571
8,0.617857456
8,0.252322286
8,0.137479499
8,0.563682735
8,0.23579146
8,0.341488123
8,0.110919155
8,0.257876098
8,0.406485617
8,0.225514948
8,0.143339589
8,0.110000767
8,0.379994065
8,0.285008609
8,0.37366426
8,0.19686842
8,0.283243209
8,0.522911191
8,0.254750162
8,0.156516939
8,0.180328175
8,0.524441242
8,0.139778078
8,0.229395077
8,0.114024691
8,0.112454385
8,0.102588408
8,0.130590677
8,0.143767416
8,0.114210233
8,0.595277011
8,0.165894166
8,0.183670595
8,0.557626963
8,0.321330458
8,0.10276527
8,0.428977042
8,0.321227133
8,0.150703907
8,0.303920656
8,0.129243612
8,0.208036125
8,0.210127249
8,0.104810052
8,0.192137599
8,0.219588473
9,0.217404008
9,0.579128265
9,0.249162748
9,0.197944626
9,0.611934602
9,0.255446732
9,0.136917442
9,0.556857824
9,0.234138578
9,0.341952622
9,0.111066476
9,0.254746646
9,0.405408591
9,0.22522597
9,0.143244967
9,0.11216642
9,0.377767205
9,0.285443842
9,0.369779259
9,0.197133809
9,0.2841658
9,0.519433558
9,0.252574563
9,0.15419212
9,0.182518959
9,0.525244653
9,0.140130401
9,0.228472903
9,0.11490611
9,0.111859858
9,0.102955125
9,0.13071166
9,0.142742172
9,0.113468595
9,0.592589557
9,0.163648054
9,0.183800906
9,0.556001723
9,0.320378721
9,0.102319732
9,0.427552015
9,0.320731699
9,0.150259241
9,0.303185374
9,0.12884745
9,0.205627412
9,0.209079832
9,0.104180351
9,0.191053778
9,0.220658764
10,0.216441765
10,0.574486613
10,0.247690067
10,0.197994292
10,0.606884241
10,0.26106751
10,0.14200604
10,0.556120813
10,0.233396873
10,0.339046001
10,0.113141142
10,0.255916387
10,0.392553508
10,0.226035506
10,0.144444272
10,0.113019057
10,0.377445608
10,0.280303717
10,0.367585242
10,0.193896875
10,0.284675807
10,0.51718092
10,0.25463903
10,0.157320037
10,0.178776845
10,0.519101083
10,0.143073842
10,0.226426095
10,0.114979282
10,0.111644499
10,0.101855271
10,0.132001564
10,0.142432928
10,0.116326585
10,0.590288281
10,0.166917324
10,0.186005279
10,0.553302348
10,0.324373126
10,0.104143411
10,0.425001651
10,0.319898188
10,0.148064688
10,0.301699996
10,0.132610098
10,0.204497546
10,0.208215073
10,0.106129661
10,0.19446075
10,0.22035031
11,0.208281472
11,0.556838632
11,0.237176508
11,0.20286876
11,0.584915936
11,0.265959442
11,0.143026948
11,0.531666458
11,0.219654977
11,0.328875154
11,0.115415379
11,0.248179719
11,0.386607409
11,0.232216984
11,0.145657882
11,0.11355672
11,0.363784671
11,0.273149341
11,0.354200989
11,0.188516095
11,0.273762852
11,0.497339398
11,0.242989317
11,0.161793232
11,0.174268007
11,0.501859188
11,0.145482838
11,0.22373116
11,0.118600003
11,0.114573091
11,0.100413196
11,0.135456339
11,0.143554226
11,0.119722478
11,0.567881525
11,0.169964775
11,0.191802099
11,0.532556593
11,0.331200838
11,0.106443308
11,0.413111985
11,0.320632637
11,0.146803513
11,0.287270188
11,0.135515377
11,0.198702767
11,0.2039015
11,0.107671738
11,0.197615638
11,0.215148985
12,0.208058387
12,0.549934864
12,0.234548986
12,0.204941049
12,0.572167635
12,0.276594162
12,0.148371816
12,0.526843429
12,0.213865593
12,0.324219376
12,0.11827904
12,0.250014603
12,0.372991025
12,0.237506926
12,0.146444097
12,0.115348987
12,0.363306254
12,0.268927336
12,0.349750012
12,0.186186776
12,0.272546053
12,0.491267174
12,0.239775911
12,0.164046496
12,0.170015201
12,0.494009227
12,0.1486343
12,0.219574824
12,0.117963284
12,0.115815118
12,0.099803746
12,0.139427811
12,0.143371925
12,0.123688824
12,0.563435495
12,0.174091756
12,0.195744336
12,0.524173558
12,0.3363989
12,0.108848222
12,0.411290318
12,0.325346172
12,0.14742291
12,0.285468906
12,0.139941558
12,0.199740186
12,0.20296219
12,0.11028897
12,0.202537194
12,0.214900658
13,0.207918078
13,0.544595182
13,0.230989695
13,0.205615059
13,0.570289314
13,0.271877468
13,0.147274137
13,0.519879103
13,0.211821407
13,0.319889545
13,0.117518902
13,0.24916485
13,0.377682596
13,0.236889526
13,0.147995055
13,0.115249865
13,0.362365395
13,0.267754823
13,0.345508367
13,0.183477238
13,0.267338783
13,0.485634059
13,0.2364261
13,0.164610296
13,0.169920489
13,0.484411299
13,0.148600608
13,0.218776658
13,0.120325588
13,0.115130886
13,0.099446557
13,0.13861993
13,0.143862918
13,0.123131372
13,0.552125931
13,0.174514219
13,0.194436446
13,0.513987362
