lambda,test_scrps
0,0.724876577
0,1.294864607
0,0.772583276
0,0.618341911
0,1.454205167
0,0.637505239
0,0.521814016
0,1.381410527
0,0.784932077
0,0.932161003
0,0.501922378
0,0.771312636
0,1.099725604
0,0.650827223
0,0.572729033
0,0.51889599
0,0.987660903
0,0.86526041
0,0.968609691
0,0.719619995
0,0.858211219
0,1.241286683
0,0.777368778
0,0.565036881
0,0.677244055
0,1.285021949
0,0.566344362
0,0.740594554
0,0.509890673
0,0.52674123
0,0.524955961
0,0.529894951
0,0.58391704
0,0.495026734
0,1.357390141
0,0.572655201
0,0.59264887
0,1.284212637
0,0.750046873
0,0.487905422
0,1.000537002
0,0.796136212
0,0.586603469
0,0.917259109
0,0.517514974
0,0.679911077
0,0.730815411
0,0.506398836
0,0.601160055
0,0.708534265
1,0.707052743
1,1.263553596
1,0.752377921
1,0.636499029
1,1.346683168
1,0.660105479
1,0.531162146
1,1.254680812
1,0.79001652
1,0.939746827
1,0.508223981
1,0.792621624
1,1.071750462
1,0.666013771
1,0.581792456
1,0.514704198
1,0.965151805
1,0.860758233
1,0.928990346
1,0.712860519
1,0.847734791
1,1.222878647
1,0.807684058
1,0.571829349
1,0.66017372
1,1.23187288
1,0.555906403
1,0.74183796
1,0.519079274
1,0.501222295
1,0.533043486
1,0.549416387
1,0.571399367
1,0.498536444
1,1.300324142
1,0.586197048
1,0.597515333
1,1.317334604
1,0.730236095
1,0.494195455
1,0.983186209
1,0.809236711
1,0.606785595
1,0.903503084
1,0.51699276
1,0.660587156
1,0.709143585
1,0.515528354
1,0.598046505
1,0.692993891
2,0.704756677
2,1.239933693
2,0.771663564
2,0.597136742
2,1.354258299
2,0.707649112
2,0.5319691
2,1.22418263
2,0.764927578
2,0.885996199
2,0.511891675
2,0.775446606
2,1.01899249
2,0.668294352
2,0.576701087
2,0.520526573
2,0.950942355
2,0.833610529
2,0.92455889
2,0.695089734
2,0.831329745
2,1.197040272
2,0.789971477
2,0.596872175
2,0.64937197
2,1.16081748
2,0.560704994
2,0.722502416
2,0.52777054
2,0.521223632
2,0.5183173
2,0.549022126
2,0.578226352
2,0.507257596
2,1.227540076
2,0.590107995
2,0.593347651
2,1.176064634
2,0.765981865
2,0.503023869
2,0.965449715
2,0.775780523
2,0.57957806
2,0.877594227
2,0.526398927
2,0.680190623
2,0.715331489
2,0.523241559
2,0.614223045
2,0.722929943
3,0.682114267
3,1.210921228
3,0.768862969
3,0.607562476
3,1.318885779
3,0.673010391
3,0.542505479
3,1.254040134
3,0.731860602
3,0.873824412
3,0.516861349
3,0.742042059
3,1.020129013
3,0.659578359
3,0.573908669
3,0.528720215
3,0.909019834
3,0.786331207
3,0.914824283
3,0.674537182
3,0.80964548
3,1.136629653
3,0.788686383
3,0.592571992
3,0.646285903
3,1.182205796
3,0.569897282
3,0.719432306
3,0.527439976
3,0.52910524
3,0.5244663
3,0.534928012
3,0.580187762
3,0.512444097
3,1.231421483
3,0.598069352
3,0.607061327
3,1.158094418
3,0.769820821
3,0.502058557
3,0.961887217
3,0.783747488
3,0.610301745
3,0.884481388
3,0.532440138
3,0.664294255
3,0.69351719
3,0.52883991
3,0.594951367
3,0.703055888
4,0.706327164
4,1.207417953
4,0.77064234
4,0.631380606
4,1.28886472
4,0.695006526
4,0.552730304
4,1.220496476
4,0.729454547
4,0.881430405
4,0.524387372
4,0.759267879
4,0.995277107
4,0.659768218
4,0.583880895
4,0.523959193
4,0.957016575
4,0.826575208
4,0.898262376
4,0.689218426
4,0.814499319
4,1.141280496
4,0.772425979
4,0.59059791
4,0.674948144
4,1.163391817
4,0.563925713
4,0.706306052
4,0.531042594
4,0.539915675
4,0.528237116
4,0.541247118
4,0.58689841
4,0.525267452
4,1.269435918
4,0.605481917
4,0.614855379
4,1.136700809
4,0.744524199
4,0.51171762
4,0.961476368
4,0.782903117
4,0.591865408
4,0.855941904
4,0.541389531
4,0.66819455
4,0.702321351
4,0.508060151
4,0.604887217
