lambda,test_mse
0,0.246176988
0,0.54477334
0,0.219291404
0,0.196807832
0,0.813502729
0,0.210336164
0,0.12125995
0,0.501860857
0,0.267472863
0,0.368475199
0,0.113185763
0,0.261136383
0,0.466470659
0,0.225590125
0,0.156475544
0,0.125081152
0,0.525333822
0,0.327864438
0,0.394190013
0,0.27386117
0,0.238319486
0,0.490209281
0,0.361407191
0,0.141566157
0,0.259257376
0,0.426284641
0,0.150703266
0,0.258237064
0,0.115959994
0,0.118685648
0,0.12608397
0,0.134109646
0,0.155852288
0,0.109228425
0,0.56402117
0,0.157776356
0,0.19507806
0,0.521838903
0,0.297272205
0,0.1100595
0,0.521839559
0,0.336549848
0,0.180100098
0,0.379213721
0,0.124743707
0,0.227508262
0,0.303083211
0,0.116918698
0,0.198262751
0,0.252620161
1,0.238051146
1,0.548085988
1,0.228483483
1,0.201755717
1,0.830462456
1,0.218105361
1,0.120864734
1,0.503205955
1,0.275443345
1,0.389456153
1,0.117222644
1,0.265104622
1,0.476369053
1,0.226452678
1,0.157714918
1,0.120300658
1,0.563663304
1,0.323740423
1,0.388117075
1,0.290633321
1,0.249887183
1,0.468023539
1,0.416322768
1,0.147322148
1,0.278098345
1,0.415866017
1,0.153788894
1,0.252213567
1,0.11982967
1,0.123797201
1,0.125924021
1,0.132825598
1,0.152481735
1,0.111960702
1,0.567598343
1,0.15894565
1,0.190530941
1,0.506720722
1,0.300686479
1,0.113670424
1,0.524614751
1,0.342543691
1,0.182074636
1,0.380558074
1,0.126777813
1,0.220006004
1,0.320413977
1,0.115154639
1,0.202441752
1,0.264843762
2,0.241383269
2,0.579081476
2,0.243245378
2,0.192724615
2,0.918923795
2,0.225929245
2,0.119435981
2,0.564334691
2,0.303919673
2,0.40396741
2,0.112455741
2,0.276488364
2,0.483148098
2,0.212417498
2,0.161785603
2,0.125037521
2,0.597372472
2,0.350865126
2,0.418477029
2,0.310560793
2,0.252707511
2,0.484224141
2,0.431931913
2,0.142079264
2,0.303134859
2,0.462116599
2,0.150939003
2,0.281409472
2,0.119736224
2,0.117547184
2,0.130416319
2,0.13142477
2,0.152617902
2,0.108381212
2,0.641871512
2,0.158248499
2,0.195147365
2,0.552020609
2,0.29421255
2,0.110165887
2,0.546803117
2,0.342014164
2,0.17635192
2,0.423263043
2,0.121569082
2,0.221123114
2,0.344152689
2,0.115421265
2,0.190807685
2,0.266418457
3,0.251783669
3,0.575026035
3,0.228365779
3,0.195268348
3,0.850712359
3,0.2137997
3,0.110720098
3,0.542530715
3,0.289690971
3,0.388470083
3,0.111478418
3,0.273585558
3,0.486861557
3,0.212371871
3,0.157606214
3,0.121406317
3,0.544921458
3,0.344661981
3,0.409432739
3,0.294122249
3,0.254425406
3,0.499517411
3,0.405221224
3,0.141312584
3,0.2975986
3,0.450558573
3,0.144973576
3,0.261260211
3,0.118950784
3,0.116365269
3,0.133068711
3,0.125662833
3,0.155233368
3,0.10698732
3,0.607764006
3,0.160144687
3,0.190265357
3,0.547320604
3,0.286903352
3,0.107643597
3,0.542171001
3,0.338639557
3,0.176685631
3,0.390534103
3,0.119169757
3,0.224904612
3,0.317300469
3,0.110708475
3,0.18783614
3,0.262745023
4,0.247695372
4,0.581639111
4,0.243850335
4,0.199887156
4,0.868718922
4,0.216467217
4,0.117226124
4,0.553788185
4,0.296948731
4,0.398864299
4,0.11231041
4,0.27678749
4,0.485949844
4,0.216957048
4,0.158920035
4,0.119995348
4,0.598890305
4,0.345201939
4,0.411051333
4,0.319696426
4,0.254336417
4,0.489168435
4,0.449902445
4,0.141624674
4,0.325501591
