"score";"value";"env";"penalty";"method";"sim"
"1";"mse";0.0405818854527244;"non-targeting";0.1;"anchor";90
"2";"mse";0.0352689614427339;"ENSG00000187514";0.1;"anchor";90
"3";"mse";0.0267391609016243;"ENSG00000172757";0.1;"anchor";90
"4";"mse";0.041029591616317;"ENSG00000147604";0.1;"anchor";90
"5";"mse";0.0209632208757352;"ENSG00000133112";0.1;"anchor";90
"6";"mse";0.0445529695271108;"ENSG00000125691";0.1;"anchor";90
"7";"mse";0.0259737630287557;"ENSG00000110700";0.1;"anchor";90
"8";"mse";0.0377063558907748;"ENSG00000108518";0.1;"anchor";90
"9";"mse";0.0486771005090839;"ENSG00000075624";0.1;"anchor";90
"10";"mse";0.0152758775119361;"ENSG00000067225";0.1;"anchor";90
"11";"mse";0.0406081876414397;"non-targeting";0.2;"anchor";90
"12";"mse";0.0352476873170482;"ENSG00000187514";0.2;"anchor";90
"13";"mse";0.0267484859912409;"ENSG00000172757";0.2;"anchor";90
"14";"mse";0.0408376750983733;"ENSG00000147604";0.2;"anchor";90
"15";"mse";0.0209182734844584;"ENSG00000133112";0.2;"anchor";90
"16";"mse";0.0442400553468712;"ENSG00000125691";0.2;"anchor";90
"17";"mse";0.0257048135498819;"ENSG00000110700";0.2;"anchor";90
"18";"mse";0.0377972755496654;"ENSG00000108518";0.2;"anchor";90
"19";"mse";0.0485760081339945;"ENSG00000075624";0.2;"anchor";90
"20";"mse";0.0152414957232696;"ENSG00000067225";0.2;"anchor";90
"21";"mse";0.0406302189345765;"non-targeting";0.3;"anchor";90
"22";"mse";0.0352324241131382;"ENSG00000187514";0.3;"anchor";90
"23";"mse";0.0267490376818435;"ENSG00000172757";0.3;"anchor";90
"24";"mse";0.0406706079409593;"ENSG00000147604";0.3;"anchor";90
"25";"mse";0.020919506046397;"ENSG00000133112";0.3;"anchor";90
"26";"mse";0.043982487204078;"ENSG00000125691";0.3;"anchor";90
"27";"mse";0.0254675132355103;"ENSG00000110700";0.3;"anchor";90
"28";"mse";0.0378876497833194;"ENSG00000108518";0.3;"anchor";90
"29";"mse";0.0484830492004666;"ENSG00000075624";0.3;"anchor";90
"30";"mse";0.01521752723746;"ENSG00000067225";0.3;"anchor";90
"31";"mse";0.0406487484411785;"non-targeting";0.4;"anchor";90
"32";"mse";0.0352220584540818;"ENSG00000187514";0.4;"anchor";90
"33";"mse";0.0267430464089749;"ENSG00000172757";0.4;"anchor";90
"34";"mse";0.0405239338830942;"ENSG00000147604";0.4;"anchor";90
"35";"mse";0.020950366488642;"ENSG00000133112";0.4;"anchor";90
"36";"mse";0.0437724170906646;"ENSG00000125691";0.4;"anchor";90
"37";"mse";0.0252567201354159;"ENSG00000110700";0.4;"anchor";90
"38";"mse";0.0379777456912897;"ENSG00000108518";0.4;"anchor";90
"39";"mse";0.0483965911814792;"ENSG00000075624";0.4;"anchor";90
"40";"mse";0.0152009325977757;"ENSG00000067225";0.4;"anchor";90
"41";"mse";0.0406643910487187;"non-targeting";0.5;"anchor";90
"42";"mse";0.0352157359719476;"ENSG00000187514";0.5;"anchor";90
"43";"mse";0.0267321897604482;"ENSG00000172757";0.5;"anchor";90
"44";"mse";0.040394261497635;"ENSG00000147604";0.5;"anchor";90
"45";"mse";0.0210001029490283;"ENSG00000133112";0.5;"anchor";90
"46";"mse";0.0436035348317895;"ENSG00000125691";0.5;"anchor";90
"47";"mse";0.0250684441868292;"ENSG00000110700";0.5;"anchor";90
"48";"mse";0.0380676782921665;"ENSG00000108518";0.5;"anchor";90
"49";"mse";0.0483154681655664;"ENSG00000075624";0.5;"anchor";90
"50";"mse";0.0151896667571166;"ENSG00000067225";0.5;"anchor";90
"51";"mse";0.0406776419661032;"non-targeting";0.6;"anchor";90
"52";"mse";0.0352127872891589;"ENSG00000187514";0.6;"anchor";90
"53";"mse";0.0267177406524839;"ENSG00000172757";0.6;"anchor";90
"54";"mse";0.0402789542553648;"ENSG00000147604";0.6;"anchor";90
"55";"mse";0.0210616141387134;"ENSG00000133112";0.6;"anchor";90
"56";"mse";0.0434706733867817;"ENSG00000125691";0.6;"anchor";90
"57";"mse";0.0248995255105704;"ENSG00000110700";0.6;"anchor";90
"58";"mse";0.0381574703351884;"ENSG00000108518";0.6;"anchor";90
"59";"mse";0.048238826454084;"ENSG00000075624";0.6;"anchor";90
"60";"mse";0.0151823300442953;"ENSG00000067225";0.6;"anchor";90
"61";"mse";0.0406889028635033;"non-targeting";0.7;"anchor";90
"62";"mse";0.0352126786857367;"ENSG00000187514";0.7;"anchor";90
"63";"mse";0.0267006721469494;"ENSG00000172757";0.7;"anchor";90
"64";"mse";0.0401759244300525;"ENSG00000147604";0.7;"anchor";90
"65";"mse";0.0211301508590566;"ENSG00000133112";0.7;"anchor";90
"66";"mse";0.0433695359731536;"ENSG00000125691";0.7;"anchor";90
"67";"mse";0.0247474173901912;"ENSG00000110700";0.7;"anchor";90
"68";"mse";0.0382470902326307;"ENSG00000108518";0.7;"anchor";90
"69";"mse";0.0481660264338214;"ENSG00000075624";0.7;"anchor";90
"70";"mse";0.0151779499054385;"ENSG00000067225";0.7;"anchor";90
"71";"mse";0.0406985017283781;"non-targeting";0.8;"anchor";90
"72";"mse";0.0352149782037226;"ENSG00000187514";0.8;"anchor";90
"73";"mse";0.0266817326386334;"ENSG00000172757";0.8;"anchor";90
"74";"mse";0.0400834921231653;"ENSG00000147604";0.8;"anchor";90
"75";"mse";0.021202509804659;"ENSG00000133112";0.8;"anchor";90
"76";"mse";0.0432965022020848;"ENSG00000125691";0.8;"anchor";90
"77";"mse";0.0246100357676052;"ENSG00000110700";0.8;"anchor";90
"78";"mse";0.0383364761498648;"ENSG00000108518";0.8;"anchor";90
"79";"mse";0.048096578538697;"ENSG00000075624";0.8;"anchor";90
"80";"mse";0.0151758412097244;"ENSG00000067225";0.8;"anchor";90
"81";"mse";0.0407067080465821;"non-targeting";0.9;"anchor";90
"82";"mse";0.0352193317333989;"ENSG00000187514";0.9;"anchor";90
"83";"mse";0.0266615004968412;"ENSG00000172757";0.9;"anchor";90
"84";"mse";0.0400002864126243;"ENSG00000147604";0.9;"anchor";90
"85";"mse";0.0212765209234325;"ENSG00000133112";0.9;"anchor";90
"86";"mse";0.0432484870119706;"ENSG00000125691";0.9;"anchor";90
"87";"mse";0.0244856523083609;"ENSG00000110700";0.9;"anchor";90
"88";"mse";0.0384255512607826;"ENSG00000108518";0.9;"anchor";90
"89";"mse";0.0480301004697862;"ENSG00000075624";0.9;"anchor";90
"90";"mse";0.0151755150374889;"ENSG00000067225";0.9;"anchor";90
"91";"mse";0.0407137444986988;"non-targeting";1;"anchor";90
"92";"mse";0.0352254457460797;"ENSG00000187514";1;"anchor";90
"93";"mse";0.0266404242578662;"ENSG00000172757";1;"anchor";90
"94";"mse";0.03992517450404;"ENSG00000147604";1;"anchor";90
"95";"mse";0.0213507145804835;"ENSG00000133112";1;"anchor";90
"96";"mse";0.0432228358230473;"ENSG00000125691";1;"anchor";90
"97";"mse";0.0243728167787084;"ENSG00000110700";1;"anchor";90
"98";"mse";0.0385142333225331;"ENSG00000108518";1;"anchor";90
"99";"mse";0.0479662880156517;"ENSG00000075624";1;"anchor";90
"100";"mse";0.0151766180896545;"ENSG00000067225";1;"anchor";90
"101";"mse";0.0407197960445951;"non-targeting";1.1;"anchor";90
"102";"mse";0.0352330745688872;"ENSG00000187514";1.1;"anchor";90
"103";"mse";0.0266188525191694;"ENSG00000172757";1.1;"anchor";90
"104";"mse";0.0398572099524461;"ENSG00000147604";1.1;"anchor";90
"105";"mse";0.0214241014855048;"ENSG00000133112";1.1;"anchor";90
"106";"mse";0.0432172451275496;"ENSG00000125691";1.1;"anchor";90
"107";"mse";0.0242702996147835;"ENSG00000110700";1.1;"anchor";90
"108";"mse";0.0386024405776045;"ENSG00000108518";1.1;"anchor";90
"109";"mse";0.0479048947734295;"ENSG00000075624";1.1;"anchor";90
"110";"mse";0.015178891832393;"ENSG00000067225";1.1;"anchor";90
"111";"mse";0.0407250170365049;"non-targeting";1.2;"anchor";90
"112";"mse";0.0352420108356162;"ENSG00000187514";1.2;"anchor";90
"113";"mse";0.0265970564013385;"ENSG00000172757";1.2;"anchor";90
